,User,Date Created,Number of Likes,Source of Tweet,Tweet
23,TriCityNews,2023-03-12 23:46:02+00:00,0,SocialNewsDesk,Can layoffs be done with fairness and justice in mind? https://t.co/DxSNlXOVxi
24,kyledrakeinf,2023-03-12 23:45:17+00:00,2,Twitter for iPhone,@Oilfield_Rando Let’s see them keep this same energy the next round of oilfield layoffs
25,TrevorLedbette2,2023-03-12 23:44:25+00:00,0,Twitter Web App,"@neo_antiquarian @Scott_Wiener “So Jerque, were you affected in the layoffs?”

“Oh I don’t work. Mom and dad have more than enough money.”"
26,VMigrator,2023-03-12 23:41:25+00:00,0,Twitter for Android,@Wolfof53rdSt She can layoff people and just lose a dream. Others will lose their livelihood.
27,swardley,2023-03-12 23:39:49+00:00,10,TweetDeck Web App,"... of course, something had to happen as they had to meet payroll. It's all about the workers ... until the next round of Silicon Valley layoffs ..."
28,EnglishJaun,2023-03-12 23:39:23+00:00,0,Twitter Web App,"Growing job scams amid layoff wave
https://t.co/0iFUQk4O4k"
29,mry01757029,2023-03-12 23:39:17+00:00,0,Jetpack.com,Growing job scams amid layoff wave https://t.co/42rAbjwzLN
30,LoFiFoFum,2023-03-12 23:39:04+00:00,2,Twitter for Android,"@KaeJhee @sethcatfag @RealTBaggins @tomloverro @dadbones @charmed_mained A lot of people said this when Google employees were laid off. People have been saying it, mockingly, at every layoff wave in tech since the first dot-com bubble burst, at least.

You can't park payroll in a post-Dodd-Frank bank and plausibly say you care if employees get paid."
31,kooora2too,2023-03-12 23:39:03+00:00,0,Jetpack.com,Growing job scams amid layoff wave https://t.co/cyu5SmgxiE
32,kldmr68501233,2023-03-12 23:39:01+00:00,0,Jetpack.com,Growing job scams amid layoff wave https://t.co/iE1bWMUviM
33,shahzadusmani91,2023-03-12 23:37:08+00:00,0,Jetpack.com,Growing job scams amid layoff wave https://t.co/9P3E0BAG3r
34,5thcolomnist,2023-03-12 23:35:49+00:00,0,Twitter for Android,A financial crisis seems afoot. 3 American banks have gone under in the last few days. This is coming on the heels of the mass layoffs in the tech world and rising interest rates designed to tackle rising #inflation. A contagion might have begun.
35,Chriskowalewsk2,2023-03-12 23:34:10+00:00,0,Twitter for iPhone,@tarheelanalyst How far back you want to go? And layoff Hubert. He is good man and a great coach.
36,tellmetimes,2023-03-12 23:33:35+00:00,0,dlvr.it,Growing job scams amid layoff wave https://t.co/Dcv0FS8fZt
37,0xKefka,2023-03-12 23:32:18+00:00,0,Twitter for iPhone,"And billionaire VCs can now rest comfortably as they continue to push harder for 10%+ layoffs across their dogshit zombie startups with zero chance at any meaningful revenue

Big win for them"
38,kkeller,2023-03-12 23:31:00+00:00,0,Twitter for iPhone,@brushguypeepwoo @gosuprime21 @unusual_whales Understood. Massive tech layoffs will impact everyone.
39,NateJay101,2023-03-12 23:30:57+00:00,4,Twitter for Android,I feel that the Fed must put the brakes on raising rates in light of 3 banks collapsing. But unemployment is a big issue if they cut rates with all of the layoffs that just happened months on in.
40,OLanre3,2023-03-12 23:30:51+00:00,0,roomvu,"SF apartment rents fall. Tech layoffs to further weaken housing market
https://t.co/eFiqX9kpPF
Contact me to discuss the latest scoop in real estate! #sanfrancisco #sfrealestate #bayarearealtor #bayarea #california #californiarealestate"
41,julioRi17097064,2023-03-12 23:30:18+00:00,0,Twitter for iPhone,"@ZssBecker No, what you have is run away inflation.  Pick your poison clown. Humans are short sighted.  They rather have inflation settle at 6-10% or have massive layoffs, homes prices tanking.  What you think is going to be the path chosen? Clown.  You sold the bottom."
42,RealSky786,2023-03-12 23:30:15+00:00,1,Twitter for Android,"@WatcherGuru More worst than 2008, war is going on, banks collapse going on, there is food crisis,  inflation rate is already high. Layoffs going on."
43,eorvieto,2023-03-12 23:30:03+00:00,0,Twitter for iPhone,@BigOShow Caused me to lose my job due to the dumb tech layoffs.
44,profitplugg,2023-03-12 23:30:02+00:00,0,Twitter Web App,"Banks failing, Bonds trading like penny stocks, Job layoffs, High inflation, High Credit Card Debt, and Record high rent -

We are living through full financial and economic turmoil. And of course, the rich will continue to get richer

Here is how you can too (🧵)"
45,HeathHixson,2023-03-12 23:29:14+00:00,1,Twitter for Android,"@learnt_to_code @Stevenwoolery @MartyLenz_KOA @mtaibbi I encourage you to read closer, but I suspect you won't. I left traditional media for a reason, on my own, voluntarily, &amp; not the victim of a layoff. But here's the thing, I stand by everything I ever reported &amp; everything I tweet with my real name &amp; photo. Wish more people did."
46,OptionsMir,2023-03-12 23:27:45+00:00,7,Twitter for iPhone,"2 new rounds of layoffs announced last week,
$META $CRM.
Let's see if the layoff pump trade's still in effect.

There's one more big stock that made a move Friday that made index puts harder to hold and even harder to swing. Could see a move this week ✈️"
47,LibertyTemen,2023-03-12 23:26:23+00:00,0,Twitter for iPhone,"@POTUS The only think america is leading the world in is layoffs, bankruptcies and inflation."
48,KennyMacAplin,2023-03-12 23:26:17+00:00,0,Twitter Web App,"50,000 tech layoffs by the end of the month.  Get woke go broke."
49,PepperGnome,2023-03-12 23:26:00+00:00,1,Twitter for iPad,"@LittleBillieJ @lizsalerno1 @zdogg12345 @McCannCaseTweet @JohnBoweActor @RobertKennedyJr Actually y’all are both wrong. 

The unemployment number is a reflection of how many new unemployment claims were filed. 

A low unemployment number doesn’t mean good economy.  As with Obama. There simply isn’t anyone left to layoff.  Not to mention the millions who don’t qualify"
50,KennyMacAplin,2023-03-12 23:25:15+00:00,0,Twitter Web App,"@BigSeanHarris @CNBCnow 50,000 tech layoffs by the end of the month"
51,ITguy1995,2023-03-12 23:23:58+00:00,1,Twitter for iPhone,Sucks to have to start fresh at another job. LAYOFFS suck ass!
52,AlbertBurneko,2023-03-12 23:23:16+00:00,57,Twitter for Mac,"“All of a sudden vultures who cheered Twitter layoffs and built gig companies that exploit workers are now seemingly worried about ""Main Street,"" as if they're lining up for the Iowa caucus.” https://t.co/2B0K7faqfp"
53,Santiag78758327,2023-03-12 23:22:54+00:00,0,Twitter Web App,@coloradotravis @loganbartlett When layoff and bonus announcements?
54,kingF0X23,2023-03-12 23:22:06+00:00,0,Twitter for iPhone,@PeterKolchinsky I’m sure the layoffs of 7%-25% of the workforce will stop now right? Lol
55,divineamongmen,2023-03-12 23:21:38+00:00,0,Twitter for iPhone,Leaving even more unemployed even with the massive tech layoffs that already happened.
56,mgav,2023-03-12 23:20:09+00:00,1,Twitter Web App,"@Jason @leolaporte @ReedAlbergotti @jasonhowell We KNOW what's going on: 

Bailouts &amp; Welfare for Venture Capitalists

God help you if you lose your job in a #VC-backed company's layoff and can't pay your mortgage for 8 months &gt; You'll lose your house &amp; go bankrupt because that's ""capitalism"" #SVB"
57,KitBaroness,2023-03-12 23:19:28+00:00,2,Twitter for iPhone,"Considering the recent events and for seeing future tech layoffs, I probably will not be doing the tech convention Boston meet up in May"
58,NickNance4,2023-03-12 23:19:24+00:00,0,Twitter Web App,@TheDemocrats Layoffs are happening. Everything is expensive and stupid.
59,bigDkenna1,2023-03-12 23:19:12+00:00,0,Twitter for iPhone,"After massive tech layoffs and SVB bank collapse, liberals are off to a rough start in 2023 https://t.co/2pEGZjali7"
60,BearleyNevin,2023-03-12 23:19:12+00:00,1,Twitter for iPhone,"@Mattoutofthe402 @SaraEisen eh, kinda but also not. if those companies can’t access deposits their payroll can’t be met which leads to major layoffs &amp; collapses. svb was responsible for very large companies &amp; startups accounts. it’s also deposits being guaranteed, not bank shareholders being bailed out now."
61,Tmclough10,2023-03-12 23:17:59+00:00,1,Twitter for Android,@Bills_Chick Many of the world's most well known tech companies had funds at these banks. If those funds were not retrievable the layoffs would be enormous. So either way taxpayers were going to pay.
62,82_USjams,2023-03-12 23:17:58+00:00,1,Twitter for iPhone,"@VP @POTUS And look at those layoffs in big companies, bank closures, homeless, inflation, food costs, fuel costs, business closures and so much more. I would say it’s been a complete failure!! 🇺🇸"
63,Lff1017,2023-03-12 23:17:38+00:00,0,Twitter Web App,"Andrew Yang warns of 'mass layoffs,' calls for government intervention after Silicon Valley Bank collapse https://t.co/C2bFuqs7U9 via @Yahoo"
64,CalvinistRidley,2023-03-12 23:17:13+00:00,0,Twitter for iPhone,@JebraFaushay Layoff the beyond meat kid
65,canada_fallen,2023-03-12 23:14:44+00:00,0,Twitter Web App,"@So_Darn_Tired @1_2_question @globeandmail True

I have no idea what numbers those pull

But the history of mass layoffs (Tech bust, 2008) shows a heavy leaning towards my tweet"
66,PhiloneousPop,2023-03-12 23:14:31+00:00,7,Twitter for iPhone,"@AP I’m happy for them;  but just the latest example in how rich people are always bailed out while the rest of us get continuously ratf***ed by high rents, mass layoffs, ridiculous student loans, etc"
67,cursingbranches,2023-03-12 23:13:45+00:00,0,Twitter for iPhone,@DakaBlink @prchovanec They outsource 90% of support and operational roles that would otherwise provide middle class jobs to people. Many of these startups are paying mostly executive and senior manager salaries. Many of these founders gloat about layoffs and disparage normal employees. Please. 🙄
68,newspyre,2023-03-12 23:13:26+00:00,0,Twitter Web App,"Looks like 'Washington's (illegal) financial fraud imagineers' have concocted another (im)perfect storm of layoffs, an ongoing real estate bubble, and potential (domestic and foreign) banking contagion..."
69,caseyloeber,2023-03-12 23:13:19+00:00,1,Twitter Web App,looking forward to the next round of tech layoffs where these companies conveniently forget how deeply they cared about employees for a weekend
70,TheDripLady,2023-03-12 23:12:50+00:00,0,Twitter for Android,"Wtf is this right now? This is not the time for patting one's self on the back. Inflation is high af, banks are falling apart, companies are scambeling to figure out payroll and layoffs. 

This tweet is so cringy and corny."
71,lightyear_buzz_,2023-03-12 23:12:29+00:00,0,Twitter for iPhone,"@hrdbacot nah ini sih anjng banget, udh kena layoff. pihak management sama hr nya melakukan langkah “meliburkan pegawai”"
72,Moneymirweather,2023-03-12 23:11:59+00:00,1,Twitter for iPhone,@SmithBob2001 @ToddyP_ I don’t know man. Would have to see major level layoffs for that first
73,sethcatfag,2023-03-12 23:11:06+00:00,1,Twitter for iPhone,"@KaeJhee @LoFiFoFum @RealTBaggins @tomloverro @dadbones @charmed_mained And the “fuck Silicon Valley” viewpoint has existed for a long time, and the massive reams of layoffs and development of dehumanizing “disruptions” is why. People cared about the Google layoffs, but the greed there wasn’t laced with blind self-serving hypocrisy like this has been"
74,IronCity_Mike,2023-03-12 23:10:13+00:00,0,Twitter for iPhone,"@AmandaFGodsey Interesting, a 3 day layoff."
75,mgav,2023-03-12 23:08:50+00:00,12,Twitter Web App,"America has an INFINITE budget to #bailout wealthy white men who lose on their stupid, greedy bets

God help you if you lose your job in a #VC-backed company's layoff and can't pay your mortgage for 8 months &gt; You'll lose your house &amp; go bankrupt because that's ""capitalism"" #SVB"
76,RadioGunk,2023-03-12 23:08:29+00:00,10,Twitter for iPad,"@OpieRadio @SIRIUSXM Can you guess what show will probably have ZERO layoffs, and most likely will get its 5th office makeover?"
77,EpifanioGigio,2023-03-12 23:07:37+00:00,5,Twitter for Android,@alecell_ Por que chamam demissão de layoff?
78,joe_dirts,2023-03-12 23:07:00+00:00,2,Twitter for Android,@PPP_TheOcho8 Watch her do some layoffs now
79,cloud_opinion,2023-03-12 23:06:27+00:00,7,Twitter Web App,"OH: Now that startups have access to severance money, the layoffs can resume."
80,jasonkendziera,2023-03-12 23:06:05+00:00,4,Twitter for Android,"@TSLaw232 @summerbreeze002 @sahilkapur @SimonWDC This isn't about ""keeping people fed."" Those people are insured up to $250K.

This is about the mega-rich staying that way without any actual consequences.

Let it lead to layoffs! To bankruptcies! Let their employees know who to be properly pissed at!"
81,peteostro,2023-03-12 23:05:07+00:00,6,Twitter for iPhone,"@DavidSacks The republicans and so called libertarians: Socialism for the elite class is OK, for everyone else pull yourself up by your bootstraps! Least the Dems are consistent. Can’t wait for the VC’s announcement of layoffs, the market is “too difficult” now that we have all our cash back"
82,hoon_k,2023-03-12 23:04:20+00:00,1,Twitter for iPhone,"@conorsen If by a massive uptick in LFP, then yes. Otherwise, tough to say if by massive layoffs"
83,Peak_Aboo,2023-03-12 23:04:03+00:00,0,SocialNewsDesk,"As layoffs disproportionately affect women and racialized talent, is there a way to make them equitable? https://t.co/Sht7BAfOUY"
84,DeltaOptimist,2023-03-12 23:04:02+00:00,0,SocialNewsDesk,Can layoffs be done with fairness and justice in mind? https://t.co/EsQxXSJadk
85,coast_reporter,2023-03-12 23:04:02+00:00,0,SocialNewsDesk,"As layoffs disproportionately affect women and racialized talent, is there a way to make them equitable? https://t.co/puaZmxPS9a"
86,JayJoe12,2023-03-12 23:02:06+00:00,7,Twitter for iPhone,@Phil_Lewis_ They’ll still use this “crisis” to layoff workers.
87,JustMe43963414,2023-03-12 23:02:02+00:00,0,Twitter for Android,@NMVoices More layoffs if this is signed...because the people making business policy have never run a business
88,KentPitman,2023-03-12 23:01:09+00:00,0,Twitter for Android,"@forEgality @davidsirota Ah. I see a lot were not FDIC insured. I have more opinions here than fit in a tweet. Mostly I think still bail them out, placing public-interest conditions on getting money. A wealth tax should pay for this. It should not cost the public nor let corps profit by huge layoffs."
89,marcellojsob,2023-03-12 23:00:49+00:00,1,AdvisorStream v2,"Look at the waves of layoffs happening across industries right now, and you are probably pondering something you have not had to think about for quite a while:
Plan B. https://t.co/bXnCrpYlg3 https://t.co/RT4ayjlA3k"
90,mind_ponders,2023-03-12 22:58:55+00:00,1,Twitter for Android,@Scobleizer @JPSartre_NoExit @federalreserve @SecYellen @POTUS @VP This SVB stress test of startups would have resulted in massive layoffs.  It would have solved the problem.  Now we just accepted that the government will carry wealthy peoples risks.  Ask your self how many shares the c-suite unloaded the last 2-3 weeks?  Do tell us?
91,hotoddy,2023-03-12 22:58:37+00:00,0,Twitter Web App,"Can anyone explain the last race from gulfstream today? A horse off a 27 month layoff. Trainer change to a guy who has no stats worth considering off such a layoff. 3 time maiden never less than 14-1 in any race 
Wins at 7-1 off of 20-1 morning line. Wtf is it about that track?"
92,otiszeon,2023-03-12 22:57:27+00:00,0,Twitter for iPhone,"People underestimate the collateral damage. A lot of higher institutions depends on banks. Bank’s collapse well forces major layoffs and collapse of leading institutions, including hospitals, schools and nonprofits. Thousands of small businesses will collapse."
93,kingF0X23,2023-03-12 22:56:26+00:00,1,Twitter for iPhone,"I’m sure all of the SVB companies will respond by giving their employees bonuses and NOT continuing to layoff 7%-25% of their workforces, right!?"
94,FuuTop1,2023-03-12 22:56:14+00:00,0,Twitter for iPhone,@Malrx4 @Tiernan__Joseph And those Bethesda layoffs are insignificant
95,airy_goldman,2023-03-12 22:52:23+00:00,0,Twitter for Android,"@AmericaJimmy1 @MayoIsSpicyy ""The number of persons jobless less than 5 weeks increased by 343,000 to 2.3 million in February, *offsetting* a decrease in the prior month.""

It fluctuates, bud. Layoffs happen, reemployment happens. Not looking at the broader picture. It's in this PDF.

https://t.co/BsrXtbdJiI"
96,Malrx4,2023-03-12 22:52:06+00:00,0,Twitter for Android,"@Tiernan__Joseph @FuuTop1 It had absolutely nothing to do with the game situation, Bethesda faced layoffs too lol"
97,NIPCS_ES,2023-03-12 22:51:21+00:00,21,Twitter Web App,"N ot
I n
P layoffs 

(otra vez)

1:2 https://t.co/2iQFZIQ5mm"
98,rachaelmyrow,2023-03-12 22:49:40+00:00,1,Twitter Web App,"@michelleteheux @LinkedIn I think a lot of people feel they can't be authentic online, as if people will sense blood in the water and show no mercy or compassion. As if layoffs don't happen to good people."
99,HappyNiceguy4u,2023-03-12 22:49:36+00:00,0,Twitter for iPhone,@TopFinanceTakes @GRDecter Tech already going through layoffs
100,berkwarcorespon,2023-03-12 22:49:08+00:00,0,Twitter Web App,"@_johnsonator bunch a whiny tech poeple want a bailout, no thanks! i want them to fail and the layoffs to accelerate!"
101,RP_Defi_Jam,2023-03-12 22:47:45+00:00,0,Twitter for iPhone,"@RTSG_Agmnt 9-5 with multiple brain, lunch, and coffee breaks. Every stop and start is a huge productivity drain. “I never saw my layoff coming”."
102,PaulaRae61,2023-03-12 22:47:25+00:00,1,"Clearview Social, Inc.","Quiet Quitting is trending (again). Employers hoping that layoffs and economic uncertainty will make for a more motivated staff need to cut through the noise and focus on solutions.

We have you covered. Click the link to solve today, or better yet… https://t.co/sbC10NDSeM"
103,caution_aleo,2023-03-12 22:46:49+00:00,2,Twitter Web App,"I'm glad US gov is looking into protecting SVB's depositors. I see no need to bail out the bank's investors, but failing to protect depositors - who had taken no reckless risks - can mean large layoffs, damage to trust in banks, and setting back AI &amp; tech innovation by years."
104,joyfrugalista,2023-03-12 22:46:37+00:00,1,Zoho Social,"With tech job layoffs and high inflation, how do you talk to your kids about money? I shared some thoughts in this article for @moneymagaus, with wisdom from Helen Baker at @On Your Own Two Feet https://t.co/MS88xjBOCM https://t.co/kDrsdzzk82"
105,Geekyaunt2011,2023-03-12 22:46:11+00:00,1,Twitter for Android,"@mag_lex_private I'll admit that by the 3rd week of layoff, I was BORED. I was tired of being an indoor puppy. Like, going to the grocery store was an adventure.  🤣"
106,Decoysheep,2023-03-12 22:44:34+00:00,1,Twitter for Android,"@rustycohl Well, they were wanting excuses to layoff more people.  Reckon this I'd as good a reason as any."
107,WolfoftheKirb,2023-03-12 22:44:11+00:00,1,Twitter for Android,"@zerohedge The fed doesn't even know.  They just announced they will backstop deposits, so there is no reason for a bank to not take risks in the future.  Nobody likes risk management anyways.  Time to layoff all risk departments."
108,Long_Shot_Ads,2023-03-12 22:43:00+00:00,5,Twitter Web App,Google employees scramble for answers after layoffs hit long-tenured and recently promoted employees #ai #ml #dl #iot ht @MIKEQUINDAZZI https://t.co/cqJCfT1xo5 https://t.co/xL7fzsurVk
109,brakishpeps,2023-03-12 22:42:48+00:00,0,Twitter for iPhone,"@OrangeUc1000 @madHink @Bocah_Spj86 Gede kecil emg relatif, tp yg pasti kan ASN udh pasti gak bakal bisa dipecat. Itu jg udh poin plus buat ASN, pandemi kmrn swasta banyak org kena layoff pdhl kartap."
110,isvictoriousss,2023-03-12 22:42:09+00:00,1,Twitter Web App,"It’s so funny to see these people pretend to care about employees.

🙄 up until Friday they were gleeful about layoffs &amp; AI replacing workers."
111,calmarten,2023-03-12 22:41:40+00:00,0,Twitter Web App,"@Defetyhw If they use it for payroll, as they keep saying they do, 500k might get layoffs next week or the week after.

This kind of stuff happened when credit markets froze in 2008 and banks stopped lending to each other, businesses couldn't get loans for payroll, even if contracts."
112,PicksLabInkVIP,2023-03-12 22:40:14+00:00,2,Twitter for iPhone,@SUNSHINE179 @sasha342020 @MadeInTheUSANJ @DonaldJTrumpJr Who the hell said anything about the price of groceries? My tweet was about raising the wages of workers that will result in layoffs/firings. Like a true leftist you don’t know wtf you are talking about and respond with information that has nothing to do with the topic
113,radar_online,2023-03-12 22:40:09+00:00,0,Hootsuite Inc.,"#ICYMI: The engineer also claimed the mass layoffs recently made by Musk have left Twitter ""broken"" and vulnerable to ""many things"" going wrong. https://t.co/neYZ2Ghkwi"
114,vitorrigonibx,2023-03-12 22:38:46+00:00,8,Twitter for iPhone,@alecell_ O contrário! Já tem startup anunciando que ia ter layoff e não vai ter mais pq não tem como pagar severance. Vai ficar geral pianinho e possivelmente sem receber
115,MikeVanDervort,2023-03-12 22:38:06+00:00,0,Twitter Web App,Layoffs for next year up for vote by West Contra Costa Unified school board https://t.co/ETHz3iH99Y via @edsource
116,AmericaJimmy1,2023-03-12 22:37:32+00:00,0,Twitter for iPhone,"@airy_goldman @MayoIsSpicyy Have you seen the layoffs?
Good luck with the LIES you swallow"
117,RealFakecourt,2023-03-12 22:37:20+00:00,0,Twitter Web App,"@jtbanned @rick92996 @MarindaVannoy1 @POTUS Think. Please. Think.

SVB is in Silicon Valley. Fewer regulations means innovative ideas can come to fruition faster.

Silicon Valley is having massive layoffs because nobody is buying Netflix subscriptions, or ads on Facebook or Google.

SVB is the canary in the coal mine."
118,FlowTraderTM,2023-03-12 22:36:57+00:00,0,Twitter for Android,"@coinmaverick seem to have finally received the message q4 

&lt;3 months into 2023 already at 80%+ of the layoffs of all of 2022

the amt of cash burned in 2022 was incredible so idk if it wasnt on labor it was on something else"
119,Bleakhouse12,2023-03-12 22:36:46+00:00,1,Twitter for Android,@DubNorthside There will be tech layoffs regardless of bailouts and them sticking a plaster on everything like they did In 08. Let's see them try and fund the world living here when there is not as much money in the kitty. Every cloud.
120,arach,2023-03-12 22:36:14+00:00,2,Twitter for iPhone,"Crisis averted (for the most part). Cooler heads were (mostly) correct.

I’m glad I learned a lot this weekend about how banks work. I’m also glad we won’t have compounding problems accelerating even more within the tech ecosystem.

Now back to layoffs stories 😅"
121,StckPro,2023-03-12 22:35:58+00:00,0,STCK.PR0,$META NEW ARTICLE : Report: New Meta Layoffs Could Rival Last Year's Job Cuts https://t.co/jmu1CtdcP5 https://t.co/0LroHiCooy
122,sillyvariance,2023-03-12 22:34:34+00:00,2,Twitter Web App,"Alright, back to layoffs and stock buybacks, boys"
123,tekkie,2023-03-12 22:34:10+00:00,0,Twitter Web App,"""The investigation is focused on whether #Twitter has adequate resources to protect its users’ #privacy after the mass layoffs and budget cuts ordered by Mr. #Musk"" https://t.co/4DW1o7plfb"
124,cloviq,2023-03-12 22:34:08+00:00,0,Twitter for iPhone,"For those that can’t get some kind of bridge financing to make payroll, cover software, infrastructure, or other operating costs, they may need to mass layoff, shut down services, decline business, cancel contracts, default on payment obligations or all of the above."
125,_dwho,2023-03-12 22:33:41+00:00,57,Twitter for Android,"Oie gente, a Thoughtworks passou por uma demissão em massa segunda retrasada e infelizmente fui junto. Se souberem de alguma vaga pra Desenvolvedora Júnior tô aceitando. 

meu linkedin: https://t.co/Z1LSxW8bIx 

#layoffs #layoffs2023 #dev #bolhadev  #desenvolvedores https://t.co/4c2U6dTqrs"
126,crstarkey,2023-03-12 22:32:59+00:00,0,Twitter Web App,"It's taken the entire decade for many to even out; then Covid. 
 
Now, layoffs have returned, massive inflation, unstable world, #crypto disaster after disaster. 
 
SVB's demise runs the risk of creating a banking collapse."
127,MichaelJMathias,2023-03-12 22:32:26+00:00,1,Twitter for iPhone,"@Im_X1 @Jason @POTUS @SecYellen In the meantime, the Fed has been pursuing a policy to spur layoffs for more than a year. For rich people though, that’s not a crisis. JFC."
128,Al01619246,2023-03-12 22:31:22+00:00,1,Twitter Web App,"@JoeBiden OPERTUNITY? Not under a democrat administration?

The private sector added 242,000 jobs in February, according to payrolls processor ADP. 
But layoffs rose to 1.7 million, the highest in more than two years."
129,akwu,2023-03-12 22:30:55+00:00,0,Twitter Web App,"@HaidiLun @SheryAhnNews @BelleDroulers @SuKeenanTV @yvonnemantv re  Carol Peppers' comments- I told u Haidi,downshift from Warp 14 to watt 8/9 Operate an econ system that can afford to Slow Down without massive layoffs &amp; unemployment's IMHO"
130,RedcellsC,2023-03-12 22:30:23+00:00,1,Twitter for iPad,"メタが二度目の大量レイオフ。
日本は周回遅れで大規模投資する企業が、、

やめといた方がいいぞ。

現実世界の景気回復しないといけないのに優先順位違うんじゃないか？

Meta Plans New Layoffs That Could Match Last Year’s in Scope - WSJ https://t.co/w501CAtz6Q"
131,StckPro,2023-03-12 22:30:03+00:00,0,STCK.PR0,$META NEW ARTICLE : Report: New Meta Layoffs Could Rival Last Year's Job Cuts https://t.co/jmu1CtdcP5 https://t.co/e5xua54iWf
132,MailMyStatement,2023-03-12 22:30:00+00:00,0,eClincher,Adventist Health reorganization includes administrative layoffs https://t.co/Zn7wkYeNI2 via @HC_Finance #healthcare
